X,logFC,AveExpr,t,P.Value,adj.P.Val,B,name
ENSG00000167434,-2.523417697,1.743386795,-7.01868298,1.57E-09,4.75E-05,10.76389135,CA4
ENSG00000158764,-2.15652247,1.333573774,-6.722565986,5.23E-09,0.000105713,9.567722365,ITLN2
ENSG00000105227,-1.978417963,2.323418915,-6.523086691,1.17E-08,0.00017776,8.767110021,PRX
ENSG00000066405,-2.798299792,4.054362593,-6.435539715,1.67E-08,0.000202423,8.41730468,CLDN18
ENSG00000246430,-1.530328002,1.112527666,-6.305200771,2.82E-08,0.000244175,7.898498227,LINC00968
ENSG00000183607,-2.186620348,1.527380738,-6.254933859,3.45E-08,0.000261355,7.699091387,GKN2
ENSG00000272783,-1.074247136,0.73297368,-6.200620577,4.28E-08,0.000276119,7.484081822,None
ENSG00000171303,-1.543555293,1.419174362,-6.116396674,6.00E-08,0.000330649,7.151630142,KCNK3
ENSG00000112782,-2.107831722,3.413605329,-6.072763466,7.13E-08,0.000360628,6.979880712,CLIC5
ENSG00000268388,-2.093543495,1.89295694,-6.016619219,8.92E-08,0.000416135,6.759388837,FENDRR
ENSG00000123500,2.976347947,3.761751147,5.99503549,9.72E-08,0.000420977,6.674779301,COL10A1
ENSG00000204305,-3.283684859,5.465053139,-5.94499437,1.18E-07,0.000479112,6.478955364,AGER
ENSG00000150625,-1.751789789,1.44037975,-5.919204955,1.31E-07,0.000497431,6.378224264,GPM6A
ENSG00000115361,-1.614153718,1.98981215,-5.871552195,1.58E-07,0.000550435,6.192445215,ACADL
ENSG00000072163,-1.670734104,2.357146404,-5.850067176,1.72E-07,0.000550435,6.108834497,LIMS2
ENSG00000134917,-1.444415697,2.233332439,-5.798285407,2.11E-07,0.000582893,5.907716291,ADAMTS8
ENSG00000164619,-1.185917236,0.923585027,-5.782939812,2.25E-07,0.000592233,5.848223789,BMPER
ENSG00000129596,-1.382844302,1.133467601,-5.765543444,2.40E-07,0.000607712,5.780842144,CDO1
ENSG00000165072,-1.601687056,3.124610405,-5.738486558,2.67E-07,0.000623824,5.676173429,MAMDC2
ENSG00000124191,-1.078907779,1.185134766,-5.668498057,3.52E-07,0.00076192,5.406182828,TOX2
ENSG00000198873,-1.351300566,1.560580129,-5.644560447,3.86E-07,0.000794395,5.3140969,GRK5
ENSG00000135052,1.899321392,4.385644165,5.640152021,3.93E-07,0.000794395,5.297152607,GOLM1
ENSG00000182010,-2.180528532,2.361334744,-5.611239229,4.40E-07,0.000860548,5.18613635,RTKN2
ENSG00000168309,-2.276436829,2.420251349,-5.583815168,4.89E-07,0.000873716,5.081020278,FAM107A
ENSG00000154133,-1.64412622,2.763386139,-5.569240029,5.18E-07,0.000873716,5.02522781,ROBO4
ENSG00000163221,-1.535895365,1.056492982,-5.547189014,5.64E-07,0.000877622,4.940916889,S100A12
ENSG00000120156,-1.592161211,2.017074253,-5.534656464,5.92E-07,0.000889128,4.89305273,TEK
ENSG00000135604,-1.285414051,1.377140081,-5.524742945,6.16E-07,0.000889128,4.855218788,STX11
ENSG00000211445,-1.740240169,6.131638498,-5.50770235,6.58E-07,0.000911614,4.790242554,GPX3
ENSG00000161649,-1.302933783,0.838623971,-5.480161642,7.32E-07,0.000911614,4.685384294,CD300LG
ENSG00000206047,-1.873338147,1.082749727,-5.479488268,7.34E-07,0.000911614,4.682822916,DEFA1
ENSG00000184113,-1.958273966,2.871255691,-5.453149062,8.12E-07,0.000966102,4.582725512,CLDN5
ENSG00000144891,-1.065884107,0.915847491,-5.39724655,1.01E-06,0.001153361,4.370878683,AGTR1
ENSG00000168481,-1.196848576,1.016126853,-5.363808311,1.15E-06,0.001287399,4.244560294,LGI3
ENSG00000183287,-1.355782449,1.378817214,-5.295935755,1.49E-06,0.00158224,3.989103273,CCBE1
ENSG00000180871,-1.170908052,0.960418368,-5.282436206,1.57E-06,0.001589733,3.938447612,CXCR2
ENSG00000047457,2.218941852,4.492054929,5.277994849,1.59E-06,0.001589733,3.921793184,CP
ENSG00000135063,-1.558657878,1.822810433,-5.276965853,1.60E-06,0.001589733,3.917935406,ENTREP1
ENSG00000152580,-1.706438435,2.075537716,-5.260709855,1.70E-06,0.001664298,3.857030647,IGSF10
ENSG00000114854,-2.187413268,2.571760101,-5.243421116,1.82E-06,0.001749575,3.792339971,TNNC1
ENSG00000239839,-1.354317692,0.658996822,-5.231586489,1.90E-06,0.001801716,3.748107305,DEFA3
ENSG00000277494,-1.71288558,1.863467566,-5.172203068,2.38E-06,0.002125377,3.526779723,GPIHBP1
ENSG00000176971,-1.719689666,2.094191487,-5.166797768,2.43E-06,0.002137979,3.506685804,FIBIN
ENSG00000227051,-1.42831645,1.569144711,-5.155161843,2.54E-06,0.002161532,3.46345976,C14orf132
ENSG00000266964,-2.130089816,2.458638628,-5.151051068,2.58E-06,0.002161532,3.448198528,FXYD1
ENSG00000198075,-1.114599105,1.712794072,-5.123642835,2.86E-06,0.002227181,3.346577225,SULT1C4
ENSG00000188015,-1.431300839,1.138945258,-5.113878882,2.97E-06,0.002253169,3.310431169,S100A3
ENSG00000165197,-1.902199093,1.748771072,-5.091875141,3.23E-06,0.002388699,3.229081811,VEGFD
ENSG00000179776,-1.896159088,3.225411183,-5.087612384,3.28E-06,0.002398184,3.213339545,CDH5
ENSG00000105538,-1.059831034,1.437814669,-5.076829204,3.42E-06,0.002467982,3.173542936,RASIP1
ENSG00000164736,-1.188330679,1.252902061,-5.049291765,3.79E-06,0.002647527,3.072079268,SOX17
ENSG00000166292,-2.403310897,2.491776979,-5.048862981,3.80E-06,0.002647527,3.070501287,TMEM100
ENSG00000126458,-1.574300269,3.611229436,-5.038829245,3.94E-06,0.002663293,3.033592597,RRAS
ENSG00000171056,-1.638687587,1.573196012,-5.032132528,4.04E-06,0.002663293,3.00897694,SOX7
ENSG00000165124,-1.486297708,2.435002689,-5.025807424,4.14E-06,0.002663293,2.985740496,SVEP1
ENSG00000196549,-1.810622807,2.386867229,-5.023877727,4.17E-06,0.002663293,2.978653961,MME
ENSG00000154175,-1.489052071,4.248072284,-5.018957737,4.25E-06,0.002666536,2.960591451,ABI3BP
ENSG00000137441,-1.077269464,0.773562043,-5.013029182,4.34E-06,0.002667099,2.938836657,FGFBP2
ENSG00000095713,-1.517445309,2.295838709,-5.012508995,4.35E-06,0.002667099,2.936928377,CRTAC1
ENSG00000163815,-2.297373462,3.567276173,-4.997045374,4.61E-06,0.002790895,2.880241088,CLEC3B
ENSG00000166482,-2.104981265,4.979387003,-4.993502335,4.67E-06,0.002790895,2.867263832,MFAP4
ENSG00000243566,-1.785745887,2.081115153,-4.982979003,4.86E-06,0.002835973,2.828743797,UPK3B
ENSG00000148488,-1.102059214,1.009180025,-4.959764448,5.30E-06,0.002978638,2.743897435,ST8SIA6
ENSG00000260468,-1.466963564,1.182024437,-4.947253838,5.56E-06,0.00303676,2.698246912,LINC01290
ENSG00000170276,-1.037675444,1.065945711,-4.939322085,5.72E-06,0.003072628,2.669331496,HSPB2
ENSG00000159307,-1.050041532,1.336127437,-4.92836375,5.96E-06,0.003118009,2.629417377,SCUBE1
ENSG00000266524,-1.301643837,1.232245961,-4.892264134,6.82E-06,0.00348359,2.49821772,GDF10
ENSG00000142748,-2.456718273,2.720443733,-4.891715657,6.83E-06,0.00348359,2.496227782,FCN3
ENSG00000103241,-1.341210341,1.544678131,-4.878960182,7.17E-06,0.00362218,2.449978538,FOXF1
ENSG00000171049,-1.171256086,1.111405483,-4.850148522,7.97E-06,0.003900587,2.345719531,FPR2
ENSG00000010319,-1.26201373,1.359709865,-4.847445781,8.05E-06,0.003908307,2.335954128,SEMA3G
ENSG00000122679,-1.728461452,2.46033408,-4.84505858,8.13E-06,0.003911712,2.327330945,RAMP3
ENSG00000131097,-1.431883829,2.814601922,-4.840440531,8.27E-06,0.003932581,2.310655045,HIGD1B
ENSG00000168952,-1.396547035,1.571683952,-4.836687481,8.38E-06,0.003934941,2.297108198,STXBP6
ENSG00000164161,-1.474471712,2.487057072,-4.823115045,8.81E-06,0.004049617,2.248159163,HHIP
ENSG00000004776,-1.419396125,2.236524368,-4.802895675,9.50E-06,0.004219763,2.175359062,HSPB6
ENSG00000213203,-1.036701146,1.402520753,-4.799516442,9.62E-06,0.004226157,2.163206303,GIMAP1
ENSG00000166961,-1.682934465,1.686262196,-4.796096833,9.74E-06,0.004248998,2.150912503,MS4A15
ENSG00000095370,-1.461631612,2.042505922,-4.768763386,1.08E-05,0.00459971,2.052797507,SH2D3C
ENSG00000140807,-1.003501218,1.474758058,-4.751986228,1.15E-05,0.004786428,1.99270898,NKD1
ENSG00000157654,-1.524067353,4.415699911,-4.750379421,1.15E-05,0.004786428,1.98695948,PALM2AKAP2
ENSG00000131831,-1.188089898,1.766970004,-4.741217093,1.19E-05,0.004883268,1.954192767,RAI2
ENSG00000155511,-1.26571298,1.216760801,-4.736361129,1.21E-05,0.004937685,1.936839152,GRIA1
ENSG00000128383,-1.221552429,1.234647398,-4.731371975,1.24E-05,0.004964422,1.919018599,APOBEC3A
ENSG00000118526,-2.00440142,3.140570133,-4.731252731,1.24E-05,0.004964422,1.918592788,TCF21
ENSG00000173898,1.410110091,2.348055881,4.716079997,1.31E-05,0.005179617,1.864455102,SPTBN2
ENSG00000261143,-1.433059703,1.363081833,-4.700037638,1.39E-05,0.005421872,1.807307503,ADAMTS7P3
ENSG00000094963,-1.931674714,3.951204296,-4.683846595,1.47E-05,0.005657897,1.749727832,FMO2
ENSG00000176771,-1.284187316,1.740696358,-4.668044387,1.56E-05,0.005830351,1.693626143,NCKAP5
ENSG00000179144,-1.649850161,2.519258333,-4.663475075,1.58E-05,0.005859062,1.677421591,GIMAP7
ENSG00000154783,-1.094708265,2.485299971,-4.661299337,1.60E-05,0.005859062,1.669708366,FGD5
ENSG00000154721,-1.173655664,2.519457676,-4.660003546,1.60E-05,0.005859062,1.665115504,JAM2
